paper_id,doi,title,year,venue,topic_bucket,citation_count,priority_score,reasons,url
doi:10.1177/19375867251317242,10.1177/19375867251317242,Daylighting and Patients’ Access to View Assessment in the Palestinian Hospitals’ ICUs,2025,HERD,light,0,8.750,on_topic;content_signal_ok,
doi:10.3390/su17219459,10.3390/su17219459,Untangle the Effects of Classroom Environmental Features on Middle-School Students’ Mood Perception with Machine Learning and XAI,2025,Sustainability,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1017/CBO9780511597237,10.1017/CBO9780511597237,The Social Logic of Space,1984,,other,0,120.000,must_include_seed;on_topic,
doi:10.1002/cpz1.70302,10.1002/cpz1.70302,Open-Source Automation of the Proboscis Extension Response Assay: From Odor Delivery to Deep Learning Behavior Analysis.,2026,Current protocols,other,0,9.000,on_topic;content_signal_ok,
doi:10.3390/s25206382,10.3390/s25206382,Research on Optimization of RIS-Assisted Air-Ground Communication System Based on Reinforcement Learning,2025,Italian National Conference on Sensors,other,0,8.750,on_topic;content_signal_ok,
doi:10.1371/journal.pone.0320780,10.1371/journal.pone.0320780,Integrating DRN-RF with computer vision for detection of control room operator’s mental fatigue,2025,PLoS ONE,other,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1093/sleep/zsaf279,10.1093/sleep/zsaf279,"The associations between gas cooking stoves, indoor NO2 concentrations and adverse sleep outcomes in a pediatric sample.",2025,Sleep,other,0,8.750,on_topic;content_signal_ok,
doi:10.21203/rs.3.rs-8166797/v1,10.21203/rs.3.rs-8166797/v1,Health system learning achieves generalist neuroimaging models.,2025,Research square,other,0,8.750,on_topic;content_signal_ok,
doi:10.1007/s11357-025-01593-x,10.1007/s11357-025-01593-x,Inadequate sleep increases stroke risk: evidence from a comprehensive meta-analysis of incidence and mortality.,2025,GeroScience,other,0,8.750,on_topic;content_signal_ok,
doi:10.3390/biomimetics10090573,10.3390/biomimetics10090573,"Living Textures and Mycelium Skin Co-Creation: Designing Colour, Pattern, and Performance for Bio-Aesthetic Expression in Mycelium-Bound Composites.",2025,"Biomimetics (Basel, Switzerland)",other,0,8.750,on_topic;content_signal_ok,
isbn:9780521349390,,The Experience of Nature: A Psychological Perspective,1989,,restoration,0,120.000,must_include_seed;on_topic;content_signal_ok,
doi:10.1126/science.6143402,10.1126/science.6143402,View Through a Window May Influence Recovery from Surgery,1984,Science,restoration,0,120.000,must_include_seed;on_topic;venue_allowlist,
doi:10.3390/ijerph22111716,10.3390/ijerph22111716,Wood Odor Mapping on Arousal Axes: Exploring Correspondence with Physiological Indices of Stress Recovery.,2025,International journal of environmental research and public health,restoration,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1038/s41598-025-99345-6,10.1038/s41598-025-99345-6,Transcultural Zen design frameworks for enhancing mental health through restorative spaces and user experience.,2025,Scientific reports,restoration,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3389/fpubh.2025.1695578,10.3389/fpubh.2025.1695578,Optimization of Hunhe waterfront parks in Shenyang based on Attention Restoration Theory.,2025,Frontiers in public health,restoration,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1038/s41598-025-95771-8,10.1038/s41598-025-95771-8,Analysis of the characteristics of university common spaces that affect university students' psychological restoration.,2025,Scientific reports,restoration,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3390/buildings15193439,10.3390/buildings15193439,How Restorative Design in Aquatic Center Enhances User Learning Engagement: The Critical Role of Attention Restoration: An Environmental Psychology Approach with Implications for Sports Buildings,2025,Buildings,restoration,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1038/s41598-025-02224-3,10.1038/s41598-025-02224-3,The impact of virtual images of coastal landscape features on stress recovery based on EEG,2025,Scientific Reports,restoration,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1177/19375867251404027,10.1177/19375867251404027,Improving Overcrowding in Outpatient Departments of Old Hospitals: A Case Study in Beijing.,2026,HERD,spatial,0,9.000,on_topic;content_signal_ok,
doi:10.1038/s41598-025-21040-3,10.1038/s41598-025-21040-3,"Building sensor coverage in couture: balancing cost, coverage, and comfort.",2025,Scientific reports,spatial,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.62030/2025julypaper1,10.62030/2025julypaper1,Wayfinding and Spatial Orientation in Museums: Case Study the Acropolis Museum,2025,International Journal of Arts Architecture &amp; Design,spatial,0,8.750,on_topic;content_signal_ok,
doi:10.3390/s26010116,10.3390/s26010116,Wearable IoT-Enabled Galvanic Skin Response Device for Objective Pain and Stress Monitoring: Hardware Design and Prototype Development.,2025,"Sensors (Basel, Switzerland)",spatial,0,8.750,on_topic;content_signal_ok,
doi:10.3390/hospitals2030019,10.3390/hospitals2030019,Evaluating Spatial Support for Care Professionals: Combining Cognitive Mapping and Space Syntax Analysis Through the Lens of System Adaptability,2025,Hospitals,spatial,0,8.750,on_topic;content_signal_ok,
doi:10.1109/TGRS.2025.3542974,10.1109/TGRS.2025.3542974,Layout-Anchored Prioritizing Continual Learning for Continuous Building Footprint Extraction From High-Resolution Remote Sensing Imagery,2025,IEEE Transactions on Geoscience and Remote Sensing,spatial,0,8.750,on_topic;content_signal_ok,
doi:10.3390/math13182935,10.3390/math13182935,A Reinforcement Learning-Assisted Fractional-Order Differential Evolution for Solving Wind Farm Layout Optimization Problems,2025,Mathematics,spatial,0,8.750,on_topic;content_signal_ok,
doi:10.1109/TASE.2025.3604018,10.1109/TASE.2025.3604018,Visual and Textual Commonsense-Enhanced Layout Learning for Vision-and-Language Navigation,2025,IEEE Transactions on Automation Science and Engineering,spatial,0,8.750,on_topic;content_signal_ok,
doi:10.1177/19375867251406198,10.1177/19375867251406198,Environmental Stressors and Adaptive Mechanisms in Long-Term Care Resident Bedrooms: A Canadian Case Study.,2026,HERD,thermal,0,9.000,on_topic;content_signal_ok,
doi:10.1002/ece3.72938,10.1002/ece3.72938,Acute Heat Priming Dampens Gene Expression Response to Thermal Stress in a Widespread ,2026,Ecology and evolution,thermal,0,9.000,on_topic;content_signal_ok,
doi:10.1002/smll.202513010,10.1002/smll.202513010,Yield-Stress Composite Fluids With High Thermal Conductivity and Tunable Rheology via Hierarchical Filler Architecture.,2026,"Small (Weinheim an der Bergstrasse, Germany)",thermal,0,9.000,on_topic;content_signal_ok,
doi:10.1192/bjo.2025.10299,10.1192/bjo.2025.10299,Simulation Based Education for Building Skills in the Management of Emotional Dysregulation and Self-Harm on Children and Adolescent Mental Health Inpatient Wards,2025,BJPsych Open,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.23919/SpliTech65624.2025.11091632,10.23919/SpliTech65624.2025.11091632,Thermal comfort and energy consumption in prisons: the case of an Italian historical building,2025,2025 10th International Conference on Smart and Sustainable Technologies (SpliTech),thermal,0,8.750,on_topic;content_signal_ok,
doi:10.17576/jkukm-2025-37(6)-16,10.17576/jkukm-2025-37(6)-16,Potential of Shading Device in Enhancing Thermal Performance and Daylighting in Office Space of Industrial Building,2025,Jurnal Kejuruteraan,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1371/journal.pone.0315011,10.1371/journal.pone.0315011,Higher education students' perceptions of ChatGPT: A global study of early reactions.,2025,PloS one,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3390/en19010219,10.3390/en19010219,Machine Learning for Energy Management in Buildings: A Systematic Review on Real-World Applications,2025,Energies,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.31026/j.eng.2026.01.06,10.31026/j.eng.2026.01.06,Children’s Perception and Learning Skills: Implications in Kindergarten Architecture,2026,Jurnal Engineering,cognition,0,9.000,on_topic;content_signal_ok,
doi:10.1177/23312165251389585,10.1177/23312165251389585,Association of Tinnitus With Speech Recognition and Executive Functions in Older Adults,2025,Trends in Hearing,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.62794/pjer.v3i1.7716,10.62794/pjer.v3i1.7716,"The Effect of Entrepreneurship Learning, Social Environment, and Creativity on Entrepreneurial Interest: The Mediating Role of Entrepreneurial Attitude",2025,Pinisi Journal of Entrepreneurship Review,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.37547/feaiml/volume02issue08-02,10.37547/feaiml/volume02issue08-02,Explainable AI in Machine Learning: Building Transparent Models for Business Applications,2025,Frontiers in Emerging Artificial Intelligence and Machine Learning,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.51583/ijltemas.2025.1410000085,10.51583/ijltemas.2025.1410000085,Beyond The Mood Board: How Building Information Modeling (BIM) is Transforming Interior Design,2025,International Journal of Latest Technology in Engineering Management &amp; Applied Science,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.3390/buildings15071163,10.3390/buildings15071163,Effects of Visual Perception of Building Materials on Human Emotional States and Cognitive Functioning in a Physical Learning Environment,2025,Buildings,cognition,0,8.750,on_topic;content_signal_ok;venue_allowlist,https://doi.org/10.3390/buildings15071163
doi:10.17673/vestnik.2025.01.23,10.17673/vestnik.2025.01.23,Light-urban design of the space of urban events (using the example of «the bridge of memory» project in the hero-city of Volgograd),2025,Gradostroitelʹstvo i arhitektura,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.1016/B978-0-323-90918-1.00008-3,10.1016/B978-0-323-90918-1.00008-3,Effects of light on biological functions and human sleep.,2025,Handbook of clinical neurology,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.1177/17506980251372515,10.1177/17506980251372515,Transitional justice and memory-building: Acknowledging the importance of more-than-human worlds,2025,Memory Studies,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.1111/jnp.12426,10.1111/jnp.12426,"Development of the KeyStrokes test: An online neuropsychological assessment for attention, processing speed and executive function",2025,Journal of Neuropsychology,cognition,0,8.750,on_topic;content_signal_ok,https://doi.org/10.1111/jnp.12426
doi:10.1111/jir.13234,10.1111/jir.13234,Feasibility and Preliminary Efficacy of an Executive Function Intervention for Young Children With Down Syndrome,2025,Journal of Intellectual Disability Research,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.15627/jd.2025.2,10.15627/jd.2025.2,"The Effect of Curved Light Shelves, Ceiling and Window Characteristics on Daylighting in Thai Classrooms",2025,Journal of Daylighting,light,0,8.750,on_topic;content_signal_ok,https://doi.org/10.15627/jd.2025.2
doi:10.1016/j.enbuild.2024.115144,10.1016/j.enbuild.2024.115144,Characterizing Architectural Glazing Performance for Circadian Light.,2025,Energy and buildings,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1080/07420528.2025.2455144,10.1080/07420528.2025.2455144,Mood variation under dual regulation of circadian clock and light.,2025,Chronobiology international,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.13164/juniorstav.2025.25021,10.13164/juniorstav.2025.25021,A simulation-based case study of deciduous tree impacts on office building daylighting,2025,Juniorstav 2025: Selected Papers. Proceedings 26th International Scientific Conference Of Civil Engineering,light,0,8.750,on_topic;content_signal_ok,
doi:10.38027/iccaua2025en0328,10.38027/iccaua2025en0328,"Daylight Parameters in Hospital Wards in Hot, Arid Regions: A Simulation Analysis in The Context of Saudi Arabia",2025,Proceedings of the international conference of contemporary affairs in architecture and urbanism-ICCAUA,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3390/buildings15162977,10.3390/buildings15162977,Reinforcement Learning-Enabled Adaptive Control for Climate-Responsive Kinetic Building Facades,2025,Buildings,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.21827/krisis.45.1.42346,10.21827/krisis.45.1.42346,Transformative Listening: An Aesthetic Proposal to Justice – The 2017 NSU Tribunal in Cologne,2025,Krisis: journal for contemporary philosophy,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.15627/jd.2025.20,10.15627/jd.2025.20,"Occupant-Centric Visual Comfort Assessment and Optimization of Passive Solar Façade Shading Systems through View-Based Analysis of Daylight Glare Probability, View Content, and Spatial Frequency Distribution",2025,Journal of Daylighting,light,0,8.750,on_topic;content_signal_ok,
doi:10.3390/app15169163,10.3390/app15169163,"Effects of Spectrally Varied Lighting Conditions on Cognitive Performance, User Preference, and Cardiac Effort in Indoor Lighting Environments During Daytime",2025,Applied Sciences,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1117/12.3073484,10.1117/12.3073484,On-board optical visual perception and intelligent control of electric locomotive based on Transformer,2025,International Conference on Intelligent Transportation and Smart Cities,light,0,8.750,on_topic;content_signal_ok,
doi:10.1038/s42003-025-08632-5,10.1038/s42003-025-08632-5,Human neural organoid microphysiological systems show the building blocks necessary for basic learning and memory.,2025,Communications biology,cognition,0,8.750,on_topic;content_signal_ok,
doi:10.3758/s13415-024-01250-4,10.3758/s13415-024-01250-4,Exploring individual differences in amygdala-mediated memory modulation.,2025,"Cognitive, affective & behavioral neuroscience",cognition,0,8.750,on_topic;content_signal_ok,
doi:10.1088/1742-6596/3140/10/102002,10.1088/1742-6596/3140/10/102002,What may actually differentiate daylight from electric light in driving non-visual effects? An experimental approach to start lifting the veil,2025,Journal of Physics: Conference Series,light,0,8.750,on_topic;content_signal_ok,
doi:10.31117/neuroscirn.v8i3.403,10.31117/neuroscirn.v8i3.403,The design of public services area in a government office building integrating Bayesian Brain Perceptual Mapping,2025,Neuroscience Research Notes,cognition,0,8.750,on_topic;content_signal_ok,
