paper_id,doi,title,year,venue,pdf_path,resolved_pdf_path,status,processed_at,reason,needs_deep_theory_review
doi:10.1016/j.cub.2013.07.004,10.1016/j.cub.2013.07.004,A Shared Representation of the Space Near Oneself and Others in the Human Premotor Cortex,2013,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.cub.2013.07.004.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.cub.2013.07.004.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_non_tabular_or_table_unreadable,yes
zotero:ILIVNZ59,,Urban form and wayfinding: Review of cognitive and spatial knowledge for individuals’ navigation,2016,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Urban_form_and_wayfinding_Review_of_cognitive_and_.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Urban_form_and_wayfinding_Review_of_cognitive_and_.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_synthesis_non_tabular,yes
doi:10.1080/00038628.2020.1749980,10.1080/00038628.2020.1749980,A critical review on the impact of built environment on users’ measured brain activity,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00038628.2020.1749980.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00038628.2020.1749980.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_synthesis_non_tabular,yes
doi:10.1177/001391657684003,10.1177/001391657684003,Spatial and Social Aspects of Crowding Perception,1976,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_001391657684003.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_001391657684003.pdf,completed_pdf_no_claims,2026-02-15T00:04:17.638331+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.7454/proust.v3i1.81,10.7454/proust.v3i1.81,"Neuroscience, Wellbeing, and Urban Design: Our Universal Attraction to Vitality",2020,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.7454_proust.v3i1.81.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.7454_proust.v3i1.81.pdf,completed_pdf_no_claims,2026-02-15T00:04:20.387139+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1080/01944367508977691,10.1080/01944367508977691,Crowding Studies and Urban Life: A Critical Review,1975,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_01944367508977691.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_01944367508977691.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_synthesis_non_tabular,yes
doi:10.1080/00038628.2020.1777386,10.1080/00038628.2020.1777386,Human wayfinding behaviour and metrics in complex environments: a systematic literature review,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00038628.2020.1777386.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00038628.2020.1777386.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_synthesis_non_tabular,yes
doi:10.1007/s00530-024-01514-6,10.1007/s00530-024-01514-6,Landscape visual evaluation and place attachment in historical and cultural districts: a study based on semantic differential scale and eye tracking experimental methods,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00530-024-01514-6.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00530-024-01514-6.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1007/3-540-45004-1_7,10.1007/3-540-45004-1_7,Cognition Meets Le Corbusier — Cognitive Principles of Architectural Design,2003,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_3-540-45004-1_7.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_3-540-45004-1_7.pdf,completed_pdf_no_claims,2026-02-15T00:06:57.187755+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1088/1755-1315/738/1/012028,10.1088/1755-1315/738/1/012028,The effect of insufficient artificial lighting on workers’ moods and physiology: preliminary research,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1088_1755-1315_738_1_012028.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1088_1755-1315_738_1_012028.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.48550/arxiv.2307.10969,10.48550/arxiv.2307.10969,Assessing the Effects of Illuminance and Correlated Color Temperature on Emotional Responses and Lighting Preferences Using Virtual Reality,2023,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.48550_arxiv.2307.10969.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.48550_arxiv.2307.10969.pdf,completed_pdf_no_claims,2026-02-14T11:57:28.604497+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1089/acm.2004.10.s-71,10.1089/acm.2004.10.s-71,Healing Spaces: Elements of Environmental Design That Make an Impact on Health,2004,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1089_acm.2004.10.s-71.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1089_acm.2004.10.s-71.pdf,completed_pdf_no_claims,2026-02-15T00:08:19.997575+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1109/jproc.2013.2248691,10.1109/jproc.2013.2248691,Haptic Perception of Material Properties and Implications for Applications,2013,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1109_jproc.2013.2248691.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1109_jproc.2013.2248691.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1162/104648801753168765,10.1162/104648801753168765,Corporeal Experience: A Haptic Way of Knowing,2001,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1162_104648801753168765.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1162_104648801753168765.pdf,completed_pdf_no_claims,2026-02-15T00:08:23.221006+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1080/14649365.2011.564733,10.1080/14649365.2011.564733,"More-than visual approaches to architecture. Vision, touch, technique",2011,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_14649365.2011.564733.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_14649365.2011.564733.pdf,completed_pdf_no_claims,2026-02-15T00:08:27.060193+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1017/s0140525x00024286,10.1017/s0140525x00024286,Real space and represented space: Cross-cultural perspectives,1989,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1017_s0140525x00024286.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1017_s0140525x00024286.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1088/1755-1315/1320/1/012021,10.1088/1755-1315/1320/1/012021,Light and Emotional Architecture: An Embodied Experience,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1088_1755-1315_1320_1_012021.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1088_1755-1315_1320_1_012021.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1111/j.1749-6632.1998.tb09546.x,10.1111/j.1749-6632.1998.tb09546.x,"Stress, Adaptation, and Disease: Allostasis and Allostatic Load",1998,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1111_j.1749-6632.1998.tb09546.x.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1111_j.1749-6632.1998.tb09546.x.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1353/spc.2021.a850968,10.1353/spc.2021.a850968,Space as situated analysis: Using embodied concepts to engage social dimensions,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1353_spc.2021.a850968.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1353_spc.2021.a850968.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1073/pnas.0901639106,10.1073/pnas.0901639106,"Niches, models, and climate change: Assessing the assumptions and uncertainties",2009,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1073_pnas.0901639106.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1073_pnas.0901639106.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_deep_theory_or_conceptual,yes
zotero:IM8R9VRM,,Role of Store Atmospherics on Customer Experience,,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Role_of_Store_Atmospherics_on_Customer_Experience.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Role_of_Store_Atmospherics_on_Customer_Experience.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1177/1477153510378150,10.1177/1477153510378150,Effects of dynamic lighting on office workers: First results of a field study with monthly alternating settings,2010,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153510378150.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153510378150.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.3389/fpsyg.2015.00368,10.3389/fpsyg.2015.00368,Color and psychological functioning: a review of theoretical and empirical work,2015,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fpsyg.2015.00368.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fpsyg.2015.00368.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_deep_theory_or_conceptual,yes
doi:10.1177/0022022117698039,10.1177/0022022117698039,Preferred Interpersonal Distances: A Global Comparison,2017,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0022022117698039.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0022022117698039.pdf,completed_pdf_no_claims,2026-02-15T00:11:18.370057+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1007/s11229-021-03156-x,10.1007/s11229-021-03156-x,"Making imagination even more embodied: imagination, constraint and epistemic relevance",2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11229-021-03156-x.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11229-021-03156-x.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.3389/neuro.01.029.2009,10.3389/neuro.01.029.2009,Inducing illusory ownership of a virtual body,2009,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_neuro.01.029.2009.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_neuro.01.029.2009.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1037/tps0000037,10.1037/tps0000037,Drawing to learn: How producing graphical representations enhances scientific thinking.,2015,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_tps0000037.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_tps0000037.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1109/tse.2002.1027801,10.1109/tse.2002.1027801,CTTE: support for developing and analyzing task models for interactive system design,2002,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1109_tse.2002.1027801.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1109_tse.2002.1027801.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_deep_theory_or_conceptual,yes
doi:10.1002/ad.2031,10.1002/ad.2031,Advancing Social Functionality Via Agent‐Based Parametric Semiology,2016,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_ad.2031.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1002_ad.2031.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_non_tabular_or_table_unreadable,yes
doi:10.1162/pres.1997.6.6.603,10.1162/pres.1997.6.6.603,A Framework for Immersive Virtual Environments (FIVE): Speculations on the Role of Presence in Virtual Environments,1997,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1162_pres.1997.6.6.603.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1162_pres.1997.6.6.603.pdf,completed_pdf_no_claims,2026-02-14T12:12:57.079856+00:00,likely_deep_theory_or_conceptual,yes
doi:10.1016/j.ufug.2008.01.001,10.1016/j.ufug.2008.01.001,The perceived restorativeness of gardens – Assessing the restorativeness of a mixed built and natural scene type,2008,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.ufug.2008.01.001.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.ufug.2008.01.001.pdf,completed_pdf_no_claims,2026-02-15T00:12:36.914860+00:00,likely_non_tabular_or_table_unreadable,yes
