paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.47772/ijriss.2023.70865,10.47772/ijriss.2023.70865,Behavioural Impact of Interaction Spaces Approach in Architectural Design,2023,International journal of research and innovation in social science,affect,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"Architecture is the art and science of the built environment with communication process through design and specification sunder taken for the benefit of users’ social interaction and comfort. Users’ societal behavior in spaces and building fabrics, their social relations and their gathering areas are among the impor...",no,unknown,phenomenological
doi:10.1038/s41524-023-01115-3,10.1038/s41524-023-01115-3,A deep learning framework to emulate density functional theory,2023,npj Computational Materials,spatial,0,spatial_layout,stress,unknown,,low,abstract_only_reduced_table,abstract_only,"Density functional theory (DFT) has been a critical component of computational materials research and discovery for decades. However, the computational cost of solving the central Kohn–Sham equation remains a major obstacle for dynamical studies of complex phenomena at-scale. Here, we propose an end-to-end machine l...",no,theoretical_conceptual,phenomenological
doi:10.1103/revmodphys.89.045002,10.1103/revmodphys.89.045002,"Nucleon-nucleon correlations, short-lived excitations, and the quarks within",2017,Reviews of Modern Physics,spatial,0,spatial_layout,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"This article reviews our current understanding of how the internal quark structure of a nucleon bound in nuclei differs from that of a free nucleon. The interpretation of measurements of the European Muon Collaboration (EMC) effect for valence quarks, a reduction in the deep inelastic scattering cross-section ratios...",no,qualitative,phenomenological
doi:10.36804/nndipbop.40-1-2.2024.78-84,10.36804/nndipbop.40-1-2.2024.78-84,VISUALIZATION OF THREATS IN CIVIL SECURITY USING THREE-DIMENSIONAL SPATIAL MODELING,2024,Labour protection problems in Ukraine,acoustic,0,noise,unspecified_outcome,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The article analyzes the main concepts and methods of modeling used in civil security to solve the issues of analyzing the prerequisites for the occurrence of hazards, by forecasting, preventing and managing their components. On-site research, in particular, direct measurements, can only be carried out on an already...",no,unknown,phenomenological
doi:10.1177/1474474013495643,10.1177/1474474013495643,"Approaching/departure: effacement, erasure and ‘undoing’ the fear of crime",2014,,light,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,This paper contributes to contemporary debates about the geographies of gendered fear of crime by examining the way in which a group of young women negotiate fear of crime in public space by creating affective distance between themselves and the approaching menace of fear. These distances are presented here as lacun...,no,qualitative,phenomenological
doi:10.5204/mcj.3028,10.5204/mcj.3028,Formatted Sound,2024,M/C Journal,cognition,0,noise,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Locating the Format
What is format radio? At a glance, the answer might seem simple. In common parlance, the concept is often presented as a pejorative counterpart to non-commercial broadcasting. However, to render the concept synonymous with commercial broadcasting neglects its historical specificity. Previous rese...",no,quasi_experimental,phenomenological
doi:10.7256/2454-0684.2025.1.73300,10.7256/2454-0684.2025.1.73300,The Biopolitical dimension of the modern macropolitical identity of Russians,2025,Политика и Общество,biophilic,0,biophilia,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,The subject of the study is the biopolitical toolkit used by modern Russian elites in the context of building the macropolitical identity of Russians. This process is characterized by a complex nature. The identity policy implemented in the post-Soviet period takes into account the need to strengthen intercultural a...,no,unknown,phenomenological
doi:10.1111/jopy.70051,10.1111/jopy.70051,Seeing the World Through a Dark Lens: The Dark Core of Personality and Its Relation to Primal World Beliefs.,2026,Journal of personality,biophilic,0,biophilia,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Aversive (""dark"") personality traits are traditionally studied as predictors of harmful or manipulative behavior, yet their underlying cognitive-affective structures remain underexplored. This research investigates whether the Dark Core of personality (D)-the common aversive essence of all dark traits-is associated ...",no,unknown,phenomenological
doi:10.5860/choice.52-0767,10.5860/choice.52-0767,The feeling body: affective science meets the enactive mind,2014,Choice Reviews Online,affect,0,biophilia,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"A proposal that extends the enactive approach developed in cognitive science and philosophy of mind to issues in affective science. In The Feeling Body, Giovanna Colombetti takes ideas from the enactive approach developed over the last twenty years in cognitive science and philosophy of mind and applies them for the...",no,qualitative,phenomenological
doi:10.25205/978-5-6049863-7-0-127-139,10.25205/978-5-6049863-7-0-127-139,Leo Tolstoy’s Perception of Music in the Context of His Ethical and Aesthetic Views on Art,2023,Nasledie,cognition,0,biophilia,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"The article analyzes the diaries of Leo Tolstoy and his work “What is Art?” from the perspective of cognitive hermeneutics. The study focuses on Tolstoy’s value judgments about art, including music. It reveals that Leo Tolstoy constructs a hierarchy of criteria for the artistic value of art, such as emotional influe...",no,qualitative,phenomenological
