paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.5860/choice.31-5900,10.5860/choice.31-5900,Subjects without selves: transitional texts in modern fiction,1994,Choice Reviews Online,biophilic,0,biophilia,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Gabriele Schwab responds to the question of how aesthetic forms contribute to different kinds of cultural knowledge with an analysis of the nature of subjectivity in modernist fiction. Drawing on French and Anglo-American psychoanalysis as well as reader response theory, she explores the relationship between languag...",no,qualitative,ethnographic
doi:10.5040/9781474217712.ch-004,10.5040/9781474217712.ch-004,"Place-making in the ""Holy of Holies"": The Church of the Holy Sepulcher, Jerusalem",2020,"Ritual, Performance and the Senses",biophilic,0,biophilia,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"To date, the anthropology of space has been largely grounded in phenomenology and practice theory, both of which emphasise the mutually constitutive relations between embodied subjects and place. Despite the important contribution made by these approaches toward describing the experiential and situated nature of hum...",no,qualitative,ethnographic
doi:10.1186/s12913-015-0774-7,10.1186/s12913-015-0774-7,"Caring for the patient, caring for the record: an ethnographic study of 'back office' work in upholding quality of care in general practice.",2015,BMC health services research,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The quality of information recorded about patient care is considered key to improving the overall quality, safety and efficiency of patient care. Assigning codes to patients' records is an important aspect of this documentation. Current interest in large datasets in which individual patient data are collated (e.g. p...",no,qualitative,ethnographic
doi:10.1353/mod.2010.0007,10.1353/mod.2010.0007,"A Weird Modernist Archive: Pulp Fiction, Pseudobiblia, H. P. Lovecraft",2010,Modernism/modernity,restoration,0,unspecified_environment,stress,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"A Weird Modernist Archive:Pulp Fiction, Pseudobiblia, H. P. Lovecraft Leif Sorensen (bio) Modernist studies has been deeply enriched by the archival impulse that has lead critics to emphasize the material culture of modernism as a phenomenon that circulated in little magazines and limited editions, and then crossed ...",no,qualitative,ethnographic
doi:10.2307/2802346,10.2307/2802346,The Man-of-Words in the West Indies: Performance and the Emergence of Creole Culture.,1984,Man,acoustic,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This is  significant volume of essays-significant because they show one man's development and refinement of  folkloristic theory, significant because  theory is representative of  performance-centered school of folkloristics, and significant because through his analysis, Abrahams touches  very core of  British West ...",no,qualitative,ethnographic
sha256:82d2a7d07ae1,,A pilot experiment on effects of motor and cognitive activities on memories of soundscapes,2015,Data Archiving and Networked Services (DANS),acoustic,0,noise,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"To evaluate the potential role of activities in evaluating memories of soundscapes, we performed a pilot experiment in which respondents, engaged in combinations of two motor (walking and sitting) and two cognitive activities (counting and talking), were asked to describe the memory of their sensory experience in th...",no,qualitative,ethnographic
doi:10.1080/10702890490493509,10.1080/10702890490493509,Introduction: Mobilities and Enclosures at Borders,2004,Identities,cognition,0,biophilia,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Our central agenda is to rethink the concept of movement in anthropology and other social sciences. We do this through two themes-mobilities and enclosures-both of which draw our attention to power and its diverse outcomes, especially at borders. Enclosure addresses processes that delimit and restrict the movement o...",no,qualitative,ethnographic
doi:10.1177/0891241604269319,10.1177/0891241604269319,The Chinese Social Dance Party in Tokyo,2004,Journal of Contemporary Ethnography,spatial,0,spatial_layout,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"This article is a sociological ethnography of a Chinese immigrant social dance subculture in Japan. It examines the logic of immigrants’ leisure participation from a social psychological perspective. Traditional immigrant community studies, focusing on immigrants’ social and economic adaptation and ethnic minority’s...",no,qualitative,ethnographic
doi:10.1371/journal.pone.0091510,10.1371/journal.pone.0091510,Modeling group size and scalar stress by logistic regression from an archaeological perspective.,2014,PloS one,spatial,0,spatial_layout,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"Johnson's scalar stress theory, describing the mechanics of (and the remedies to) the increase in in-group conflictuality that parallels the increase in groups' size, provides scholars with a useful theoretical framework for the understanding of different aspects of the material culture of past communities (i.e., so...",no,qualitative,ethnographic
doi:10.1126/science.1170165,10.1126/science.1170165,Late Pleistocene Demography and the Appearance of Modern Human Behavior,2009,Science,air,0,air_quality,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"War and Peace? Modern behavior, including the development of advanced tools, musical instruments, and art, seems to have arisen in humans in stages. The earliest hints are seen in Africa about 70 to 90,000 years ago, but later in Europe about 45,000 years ago. An ongoing discussion centers on the origins and signifi...",no,qualitative,ethnographic
doi:10.1126/science.1168112,10.1126/science.1168112,Did Warfare Among Ancestral Hunter-Gatherers Affect the Evolution of Human Social Behaviors?,2009,Science,air,0,air_quality,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"War and Peace? Modern behavior, including the development of advanced tools, musical instruments, and art, seems to have arisen in humans in stages. The earliest hints are seen in Africa about 70 to 90,000 years ago, but later in Europe about 45,000 years ago. An ongoing discussion centers on the origins and signifi...",no,qualitative,ethnographic
doi:10.1177/1367549412467177,10.1177/1367549412467177,Graffiti writer as superhero,2013,European Journal of Cultural Studies,biophilic,0,biophilia,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"In this article, ethnographic research developed within the graffiti community of Lisbon is the starting point for a reflection regarding the social condition of the young members of this community. The graffiti writers live between two social and cultural universes, building complex strategies to manage identity an...",no,qualitative,ethnographic
sha256:e0c78c6005ad,,Affordances of Learning Technologies in Higher Education Multicultural Environments.,2015,Acquire (CQUniversity),other,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,A cluster of research has been conducted in higher education to investigate the affordances (action possibilities) and the influence information and communication technologies (ICT) may have on students’ learning experiences and outcomes. Such studies have given rise to the implementation of a wide range of educatio...,no,qualitative,ethnographic
