variable,category,source_count,sample_sources
amygdala_proximity_response_function.form,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:paramsub
amygdala_proximity_response_function.half_maximum_distance,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:paramsub
amygdala_proximity_response_function.source,NEURAL_PHYS,1,PROXEMIC_PE_ARCH_001:paramsub
animal_mechanism_confidence,UNCLASSIFIED,1,MS_RIPPLE_REPLAY_002:param
animal_mechanism_confidence.interpretation,UNCLASSIFIED,1,MS_RIPPLE_REPLAY_002:paramsub
anterior_insula_activation,UNCLASSIFIED,1,DT1:causal
anterior_insula_evaluation,UNCLASSIFIED,1,T68:causal
anterior_insula_thermal_representation,UNCLASSIFIED,1,T57:causal
anterior_pfc_recruitment,UNCLASSIFIED,1,T38:causal
anterior_pfc_regions,UNCLASSIFIED,1,T38:causal
anticipatory_activation_lag,UNCLASSIFIED,1,T7:param
anticipatory_activation_lag.note,UNCLASSIFIED,1,T7:paramsub
anticipatory_activation_lag.note_on_confidence,UNCLASSIFIED,1,T7:paramsub
anticipatory_activation_lag.source,UNCLASSIFIED,1,T7:paramsub
approach_behavior,BEHAV_OUTCOME,1,T17:causal
approach_exploration_behavior,BEHAV_OUTCOME,1,T42:causal
approach_or_inhibition_activation,UNCLASSIFIED,1,SOC1:causal
arbitration_signal,UNCLASSIFIED,1,T43:causal
architectural_LSF_content,ENV_ARCH,1,T22:mech
architectural_affordances,ENV_ARCH,1,T8:causal
architectural_beauty_variance_explained,ENV_ARCH,1,T1:param
architectural_beauty_variance_explained.central_value,ENV_ARCH,1,T1:paramsub
architectural_beauty_variance_explained.source,ENV_ARCH,1,T1:paramsub
architectural_beauty_variance_explained.warrant,ENV_ARCH,1,T1:paramsub
architectural_boundary,ENV_ARCH,1,SN1:causal
architectural_boundary_features,ENV_ARCH,1,PRIVACY_GRADIENT_REGULATION_001:mech
architectural_configuration,ENV_ARCH,1,PROXEMIC_PE_ARCH_001:mech
architectural_contour_geometry,ENV_ARCH,1,VF1:mech
architectural_effect_on_consolidation_outcome,ENV_ARCH,1,ED_SYSTEMS_CONSOLIDATION_001:param
architectural_effect_on_consolidation_outcome.interpretation,ENV_ARCH,1,ED_SYSTEMS_CONSOLIDATION_001:paramsub
architectural_element_spacing,ENV_ARCH,1,VF2:mech
architectural_expertise,ENV_ARCH,3,ED_SCHEMA_ENCODING_001:population_modifiers; T1:population_modifiers; T2:population_modifiers
architectural_features_promoting_co_presence,ENV_ARCH,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:param
architectural_features_promoting_co_presence.bridge_type,ENV_ARCH,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:paramsub
architectural_features_promoting_co_presence.communal_table,ENV_ARCH,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:paramsub
architectural_features_promoting_co_presence.glass_partitions_at_mezzanine,ENV_ARCH,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:paramsub
architectural_features_promoting_co_presence.high_counter_only,ENV_ARCH,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:paramsub
architectural_features_promoting_co_presence.open_staircase,ENV_ARCH,1,CROSS_SOCIAL_MIRROR_PRESENCE_001:paramsub
architectural_interpersonal_distance,ENV_ARCH,1,SOC1:causal
architectural_layout_features,ENV_ARCH,1,T3:causal
architectural_modifier_coefficients,ENV_ARCH,1,PROXEMIC_PE_ARCH_001:param
architectural_modifier_coefficients.corridor_width,ENV_ARCH,1,PROXEMIC_PE_ARCH_001:paramsub
architectural_modifier_coefficients.novelty_modifier,ENV_ARCH,1,PROXEMIC_PE_ARCH_001:paramsub
architectural_modifier_coefficients.retreat_path_availability,ENV_ARCH,1,PROXEMIC_PE_ARCH_001:paramsub
architectural_modifier_coefficients.visual_barrier_type,ENV_ARCH,1,PROXEMIC_PE_ARCH_001:paramsub
architectural_policy_complexity,ENV_ARCH,1,T44:causal
architectural_predictability,ENV_ARCH,1,T45:causal
architectural_professionals,ENV_ARCH,1,VF1:population_modifiers
architectural_risk_features,ENV_ARCH,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:param
architectural_risk_features.shared_occupancy_involuntary,ENV_ARCH,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
architectural_risk_features.shared_occupancy_with_common,ENV_ARCH,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
architectural_risk_features.single_occupancy_no_common,ENV_ARCH,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
architectural_risk_features.single_occupancy_with_common,ENV_ARCH,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:paramsub
architectural_safety_signal_features,ENV_ARCH,1,NM_VAGAL_REGULATION_001:param
architectural_safety_signal_features.ambient_noise,ENV_ARCH,1,NM_VAGAL_REGULATION_001:paramsub
architectural_safety_signal_features.bridge_type,ENV_ARCH,1,NM_VAGAL_REGULATION_001:paramsub
architectural_safety_signal_features.concealed_approach_absence,ENV_ARCH,1,NM_VAGAL_REGULATION_001:paramsub
architectural_safety_signal_features.face_level_illuminance,ENV_ARCH,1,NM_VAGAL_REGULATION_001:paramsub
architectural_safety_signal_features.visual_sightline_depth,ENV_ARCH,1,NM_VAGAL_REGULATION_001:paramsub
architectural_safety_signals,ENV_ARCH,1,NM_VAGAL_REGULATION_001:mech
architectural_social_ambiguity,ENV_ARCH,1,CROSS_TPJ_SPATIAL_SOCIAL_BRIDGE_001:mech
architectural_social_deprivation,ENV_ARCH,1,NM_SOCIAL_ISOLATION_ALLOSTATIC_001:mech
architectural_social_facilitation_features,ENV_ARCH,1,NM_OXYTOCIN_SOCIAL_003:mech
architectural_social_opportunity,ENV_ARCH,1,T50:causal
architectural_surface_statistics,ENV_ARCH,1,T1:mech
arousal_PE,UNCLASSIFIED,1,COL2:causal
arousal_context_mismatch,UNCLASSIFIED,1,COL2:causal
asa_parsing_demand,UNCLASSIFIED,1,T31:causal
associative_segmentation,UNCLASSIFIED,1,T61:causal
atrium_visual_access,UNCLASSIFIED,1,VF3:architectural_modifier_coefficients
attention_depleted_workers,PSYCH_COG,1,VIEW1:population_modifiers
attention_fatigue,PSYCH_COG,1,MS_CONSOLIDATION_RESTORATION_001:population_modifiers
attention_restoration_minimum_duration,PSYCH_COG,1,VIEW1:param
attention_restoration_minimum_duration.central_value,PSYCH_COG,1,VIEW1:paramsub
attention_restoration_minimum_duration.source,PSYCH_COG,1,VIEW1:paramsub
attention_restoration_minimum_duration.warrant,PSYCH_COG,1,VIEW1:paramsub
attentional_release_pathway,PSYCH_COG,1,T13:causal
auditory_cortex_resources,NEURAL_PHYS,1,T31:causal
auditory_motor_white_matter,UNCLASSIFIED,1,M11:causal
auditory_spatial_cues,ENV_ARCH,2,MSI2:causal; T33:causal
auditory_spatial_map,ENV_ARCH,1,MSI2:causal
auditory_spatial_model,ENV_ARCH,1,T33:causal
auditory_startle_and_salience_activation,PSYCH_COG,1,T58:causal
autism_spectrum,UNCLASSIFIED,1,PRIVACY_GRADIENT_REGULATION_001:population_modifiers
autobiographical_memory,PSYCH_COG,1,M5:causal
automatic_evaluation,UNCLASSIFIED,1,DP2:causal
automatic_social_processing_load,UNCLASSIFIED,1,SOC2:causal
autonomic_and_behavioral_response,BEHAV_OUTCOME,1,PRIVACY_GRADIENT_REGULATION_001:mech
autonomic_arousal,UNCLASSIFIED,1,M1:causal
autonomic_response,UNCLASSIFIED,1,T53:causal
autonomic_state,UNCLASSIFIED,1,T8:causal
autonomic_stress_reduction,PSYCH_COG,2,MAT4:causal; VIEW1:mech
availability_of_privacy_mechanisms,UNCLASSIFIED,1,SOC2:causal
available_cognitive_resources,UNCLASSIFIED,1,T20:causal
awake_replay,UNCLASSIFIED,1,E5:causal
awake_replay_during_rest,UNCLASSIFIED,1,E5:causal
awe_response_via_AX3,PSYCH_COG,1,L1:mech
awe_state,PSYCH_COG,1,T56:causal
awe_trigger_configuration,PSYCH_COG,1,L1:param
awe_trigger_configuration.bright_zone_max_fraction_of_visual_field,PSYCH_COG,1,L1:paramsub
awe_trigger_configuration.contrast_ratio_threshold,ENV_ARCH,1,L1:paramsub
awe_trigger_configuration.notes,PSYCH_COG,1,L1:paramsub
